image_001.png: x=0.02987245, y=-0.10017777, z=0.34772083, rx=0.54011158, ry=-0.08712081, rz=0.49300612
image_002.png: x=-0.06206919, y=-0.08475313, z=0.36568292, rx=0.27666070, ry=-0.06243720, rz=0.05315499
image_003.png: x=0.05334441, y=-0.09069679, z=0.36681294, rx=0.23599486, ry=-0.20374347, rz=0.95940589
image_004.png: x=-0.09290351, y=0.00078320, z=0.40293379, rx=0.25519558, ry=0.14889365, rz=-0.83634540
image_005.png: x=-0.03915800, y=-0.01391007, z=0.44824274, rx=0.20255943, ry=0.02698355, rz=-0.63202507
image_006.png: x=-0.12753508, y=0.01871464, z=0.43336528, rx=-0.02563910, ry=0.25333829, rz=-0.97541121
image_007.png: x=-0.06064529, y=-0.07406293, z=0.36780743, rx=0.58362545, ry=-0.14858282, rz=0.09123806
image_008.png: x=-0.16240903, y=0.01109466, z=0.37841046, rx=0.58131483, ry=-0.19594429, rz=-0.87282664
image_009.png: x=-0.14043392, y=0.06217396, z=0.37185223, rx=0.50963243, ry=0.13603452, rz=-1.09158580
image_010.png: x=-0.09080071, y=0.10510969, z=0.35115810, rx=0.40508284, ry=0.09635657, rz=-1.67677887
image_011.png: x=-0.05668865, y=0.13292076, z=0.41857386, rx=0.17026710, ry=0.20346010, rz=-1.88899182
image_012.png: x=0.05121889, y=0.15838593, z=0.41866063, rx=0.03432953, ry=0.33927120, rz=-2.73274703
image_013.png: x=-0.13355064, y=-0.00224980, z=0.32459378, rx=0.69457842, ry=-0.37541983, rz=-0.64226785
image_014.png: x=-0.14376317, y=0.08159250, z=0.33718362, rx=0.37797260, ry=0.18004251, rz=-1.44427762
image_015.png: x=-0.12071697, y=0.05781724, z=0.36557829, rx=0.38921957, ry=-0.04449067, rz=-1.17552431
